Year,Sex,Season,Medal,Season_Sex
1896,F,Summer,0,Summer_Female
1900,F,Summer,13,Summer_Female
1904,F,Summer,10,Summer_Female
1906,F,Summer,6,Summer_Female
1908,F,Summer,16,Summer_Female
1912,F,Summer,30,Summer_Female
1920,F,Summer,44,Summer_Female
1924,F,Summer,46,Summer_Female
1928,F,Summer,97,Summer_Female
1932,F,Summer,62,Summer_Female
1936,F,Summer,88,Summer_Female
1948,F,Summer,101,Summer_Female
1952,F,Summer,140,Summer_Female
1956,F,Summer,144,Summer_Female
1960,F,Summer,156,Summer_Female
1964,F,Summer,200,Summer_Female
1968,F,Summer,215,Summer_Female
1972,F,Summer,250,Summer_Female
1976,F,Summer,389,Summer_Female
1980,F,Summer,434,Summer_Female
1984,F,Summer,494,Summer_Female
1988,F,Summer,554,Summer_Female
1992,F,Summer,592,Summer_Female
1994,F,Summer,0,Summer_Female
1996,F,Summer,764,Summer_Female
1998,F,Summer,0,Summer_Female
2000,F,Summer,880,Summer_Female
2002,F,Summer,0,Summer_Female
2004,F,Summer,898,Summer_Female
2006,F,Summer,0,Summer_Female
2008,F,Summer,932,Summer_Female
2010,F,Summer,0,Summer_Female
2012,F,Summer,918,Summer_Female
2014,F,Summer,0,Summer_Female
2016,F,Summer,969,Summer_Female
1896,F,Winter,0,Winter_Female
1900,F,Winter,0,Winter_Female
1904,F,Winter,0,Winter_Female
1906,F,Winter,0,Winter_Female
1908,F,Winter,0,Winter_Female
1912,F,Winter,0,Winter_Female
1920,F,Winter,0,Winter_Female
1924,F,Winter,6,Winter_Female
1928,F,Winter,6,Winter_Female
1932,F,Winter,6,Winter_Female
1936,F,Winter,9,Winter_Female
1948,F,Winter,15,Winter_Female
1952,F,Winter,18,Winter_Female
1956,F,Winter,27,Winter_Female
1960,F,Winter,39,Winter_Female
1964,F,Winter,46,Winter_Female
1968,F,Winter,46,Winter_Female
1972,F,Winter,45,Winter_Female
1976,F,Winter,51,Winter_Female
1980,F,Winter,51,Winter_Female
1984,F,Winter,54,Winter_Female
1988,F,Winter,63,Winter_Female
1992,F,Winter,99,Winter_Female
1994,F,Winter,108,Winter_Female
1996,F,Winter,0,Winter_Female
1998,F,Winter,189,Winter_Female
2000,F,Winter,0,Winter_Female
2002,F,Winter,208,Winter_Female
2004,F,Winter,0,Winter_Female
2006,F,Winter,231,Winter_Female
2008,F,Winter,0,Winter_Female
2010,F,Winter,229,Winter_Female
2012,F,Winter,0,Winter_Female
2014,F,Winter,265,Winter_Female
2016,F,Winter,0,Winter_Female
1896,M,Summer,143,Summer_Male
1900,M,Summer,591,Summer_Male
1904,M,Summer,476,Summer_Male
1906,M,Summer,452,Summer_Male
1908,M,Summer,815,Summer_Male
1912,M,Summer,911,Summer_Male
1920,M,Summer,1264,Summer_Male
1924,M,Summer,786,Summer_Male
1928,M,Summer,637,Summer_Male
1932,M,Summer,585,Summer_Male
1936,M,Summer,829,Summer_Male
1948,M,Summer,751,Summer_Male
1952,M,Summer,757,Summer_Male
1956,M,Summer,749,Summer_Male
1960,M,Summer,755,Summer_Male
1964,M,Summer,829,Summer_Male
1968,M,Summer,842,Summer_Male
1972,M,Summer,965,Summer_Male
1976,M,Summer,931,Summer_Male
1980,M,Summer,950,Summer_Male
1984,M,Summer,982,Summer_Male
1988,M,Summer,1028,Summer_Male
1992,M,Summer,1120,Summer_Male
1994,M,Summer,0,Summer_Male
1996,M,Summer,1078,Summer_Male
1998,M,Summer,0,Summer_Male
2000,M,Summer,1124,Summer_Male
2002,M,Summer,0,Summer_Male
2004,M,Summer,1103,Summer_Male
2006,M,Summer,0,Summer_Male
2008,M,Summer,1116,Summer_Male
2010,M,Summer,0,Summer_Male
2012,M,Summer,1023,Summer_Male
2014,M,Summer,0,Summer_Male
2016,M,Summer,1054,Summer_Male
1896,M,Winter,0,Winter_Male
1900,M,Winter,0,Winter_Male
1904,M,Winter,0,Winter_Male
1906,M,Winter,0,Winter_Male
1908,M,Winter,0,Winter_Male
1912,M,Winter,0,Winter_Male
1920,M,Winter,0,Winter_Male
1924,M,Winter,124,Winter_Male
1928,M,Winter,83,Winter_Male
1932,M,Winter,86,Winter_Male
1936,M,Winter,99,Winter_Male
1948,M,Winter,120,Winter_Male
1952,M,Winter,118,Winter_Male
1956,M,Winter,123,Winter_Male
1960,M,Winter,108,Winter_Male
1964,M,Winter,140,Winter_Male
1968,M,Winter,153,Winter_Male
1972,M,Winter,154,Winter_Male
1976,M,Winter,160,Winter_Male
1980,M,Winter,167,Winter_Male
1984,M,Winter,168,Winter_Male
1988,M,Winter,200,Winter_Male
1992,M,Winter,219,Winter_Male
1994,M,Winter,223,Winter_Male
1996,M,Winter,0,Winter_Male
1998,M,Winter,251,Winter_Male
2000,M,Winter,0,Winter_Male
2002,M,Winter,270,Winter_Male
2004,M,Winter,0,Winter_Male
2006,M,Winter,295,Winter_Male
2008,M,Winter,0,Winter_Male
2010,M,Winter,291,Winter_Male
2012,M,Winter,0,Winter_Male
2014,M,Winter,332,Winter_Male
2016,M,Winter,0,Winter_Male
